Average Taxable Income $,Gender Rank,Gender,Individuals,Number of Records,Occupation
"$78,650",325,Male,6562,1,Air force junior officer; Army junior officer; Defence force personnel – junior officer; Navy junior officer; RAAF junior officer
"$78,575",326,Male,679,1,Communications operator
"$78,405",327,Male,1065,1,Equipment hire manager
"$78,262",328,Male,517,1,Bulldozer operator
"$78,187",329,Male,6561,1,Company rep. – real estate; Real estate salesperson
"$77,977",330,Male,63,1,Consultant – clinical nurse
"$77,915",331,Male,605,1,Fisheries officer
"$77,891",332,Male,983,1,Boiler attendant; Engine or boiler operator
"$77,609",333,Male,900,1,Technical cable jointer
"$77,453",334,Male,10077,1,Guard – prison; Prison officer or warder
"$77,424",335,Male,332,1,Insurance investigator
"$77,409",336,Male,757,1,Radiocommunications technician
"$77,383",337,Male,254,1,Botanist
"$77,274",338,Male,502,1,"Art director – film, television or stage"
"$77,218",339,Male,884,1,Biomedical engineer
"$77,192",340,Male,7692,1,Claims consultant – insurance; Insurance assessor; Insurance consultant or clerk
"$77,066",341,Male,1255,1,Concrete batching plant operator
"$77,050",342,Male,2145,1,Bus inspector; Traffic inspector; Transport operations inspector
"$77,036",343,Male,2546,1,Biologist; Life scientist
"$77,010",344,Male,47845,1,Boilermaker; Fabricator – door or window – metal; Metal fabricator
"$76,823",345,Male,1348,1,Legal executive; Paralegal
"$76,789",346,Male,442,1,Exporter; Importer
"$76,755",347,Male,774,1,Ambassador; Archbishop; Bishop; Correctional institution governor; Prison governor
"$76,733",348,Male,8420,1,IT network administrator
"$76,665",349,Male,578,1,"Technical director – film, television, radio or stage"
"$76,650",350,Male,438,1,Crane chaser
"$76,627",351,Male,142,1,Apprentice or trainee – insurance claims investigator
"$76,288",352,Male,348,1,Agricultural engineer
"$76,167",353,Male,962,1,Podiatrist
"$76,126",354,Male,1162,1,Technical writer
"$75,970",355,Male,388,1,Nurse educator
"$75,861",356,Male,440,1,Geographer; Social scientist
"$75,854",357,Male,805,1,Consultant – tax accountant
"$75,838",358,Male,12071,1,IT support engineer
"$75,609",359,Male,877,1,Food technologist
"$75,589",360,Male,310,1,Master fisher
"$75,290",361,Male,1022,1,Telecommunications lines worker
"$75,231",362,Male,967,1,Hospital pharmacist
"$75,167",363,Male,1129,1,Announcer – radio; Disc jockey – other than nightclub; Newsreader – radio; Radio announcer; Radio presenter
"$75,162",364,Male,2583,1,Fitter-welder
"$75,024",365,Male,311,1,Consultant – workplace relations
"$74,993",366,Male,1229,1,Chiropractor
"$74,921",367,Male,635,1,Immigration officer
"$74,778",368,Male,3239,1,Mechanical engineering draftsperson
"$74,730",369,Male,2659,1,Registered nurse – critical care and emergency
"$74,725",370,Male,1746,1,Call centre manager; Contact centre manager
"$74,687",371,Male,445,1,Clothing designer; Fashion designer
"$74,664",372,Male,592,1,Aircraft refueller
"$74,629",373,Male,266,1,Medical radiation therapist
"$74,450",374,Male,8751,1,Communications officer – installation or maintenance; Telecommunications technician; Telephone technician Food trades workers
"$74,441",375,Male,14601,1,"Owner – bus, truck, limnousine or hire car; Owner-driver – bus; Owner-driver – truck; Transport company manager"
"$74,338",376,Male,2321,1,Communications equipment tradesperson; Telecommunications cable jointer or repairer
"$74,225",377,Male,11490,1,Builder – professional; Project builder
"$74,223",378,Male,5378,1,Electronic engineering technician
"$74,002",379,Male,3577,1,Registered nurse – mental health; Registered nurse – psychiatric
"$73,996",380,Male,399,1,Physiologist
"$73,972",381,Male,1580,1,Grader operator
"$73,855",382,Male,221,1,Dental prosthetist
"$73,851",383,Male,1151,1,Tram driver
"$73,745",384,Male,223,1,Retirement village manager
"$73,719",385,Male,6748,1,Automotive electrician
"$73,686",386,Male,3460,1,Waste water plant operator; Water plant operator
"$73,561",387,Male,615,1,Ecologist – animal; Zoologist
"$73,496",388,Male,723,1,Apprentice or trainee – sales representative (wholesale)
"$73,446",389,Male,517,1,Plumbing inspector
"$73,247",390,Male,6737,1,Sales representative – other technical products
"$73,246",391,Male,17261,1,Factory manager; Manufacturer
"$73,201",392,Male,1709,1,Advertising specialist; Media planner
"$73,192",393,Male,1222,1,Bus conductor; Train conductor; Tram conductor; Transport conductor
"$73,146",394,Male,10298,1,Car salesperson; Caravan salesperson; Motor vehicle salesperson; New car salesperson; Used car salesperson
"$73,114",395,Male,3737,1,Business development officer – loans; Credit and loans officer
"$73,087",396,Male,500,1,Clerk of court; Court registrar – Children’s Court; Court registrar – County Court; Court registrar – Court of Petty Sessions; Court registrar – District Court; Court registrar – High Court; Court reg
"$73,054",397,Male,1148,1,Funeral director; Undertaker
"$72,999",398,Male,2428,1,Club licensee; Club manager – licensed club
"$72,873",399,Male,3241,1,Gasfitter; Plumber – gasfitter
"$72,857",400,Male,612,1,Consultant – recruitment
"$72,831",401,Male,2960,1,Education advisor
"$72,624",402,Male,5785,1,Civil engineering draftsperson; Structural draftsperson
"$72,349",403,Male,1009,1,Farmer or farm overseer – other livestock
"$72,301",404,Male,195,1,Orthotist; Prosthetist
"$72,266",405,Male,5515,1,Physiotherapist
"$72,243",406,Male,441,1,Paving plant operator
"$72,221",407,Male,8653,1,Purchasing officer or clerk
"$72,121",408,Male,412,1,Parole officer
"$72,117",409,Male,450,1,Flying instructor
"$72,085",410,Male,53848,1,Governess – teaching (secondary level); High school teacher; Secondary school teacher
"$71,983",411,Male,149,1,Director of photography
"$71,966",412,Male,310,1,Broadcast transmitter operator
"$71,961",413,Male,100,1,Dental therapist
"$71,879",414,Male,2517,1,Furniture designer; Industrial designer
"$71,843",415,Male,305,1,Midwife
"$71,739",416,Male,629,1,Video production manager
"$71,733",417,Male,1017,1,IT trainer
"$71,595",418,Male,3222,1,External auditor
"$71,499",419,Male,31,1,Social security assessor
"$71,282",420,Male,179,1,Engineering patternmaker
"$71,243",421,Male,1169,1,Brewery worker
"$71,175",422,Male,586,1,Copywriter
"$71,141",423,Male,431,1,Radio journalist
"$71,130",424,Male,1699,1,Software tester
"$71,101",425,Male,1480,1,Sand-blaster
"$70,913",426,Male,109,1,Conservator
"$70,903",427,Male,109,1,Dental hygienist
"$70,738",428,Male,1355,1,Concrete pump operator
"$70,677",429,Male,1233,1,Water inspector
"$70,592",430,Male,116,1,Land economist
"$70,588",431,Male,466,1,Business broker; Retail assistant – business broker; Salesperson – business broker
"$70,555",432,Male,5305,1,Web programmer
"$70,498",433,Male,2830,1,Drainer; Plumber – drainer
"$70,417",434,Male,194,1,Registered nurse – child and family health
"$70,255",435,Male,6129,1,Steel fixer
"$70,210",436,Male,5582,1,Excavator operator
"$69,902",437,Male,9932,1,Company rep. – industrial; Sales representative – industrial products
"$69,634",438,Male,2453,1,Fire protection equipment technician
"$69,594",439,Male,4113,1,Registered nurse – medical
"$69,533",440,Male,2224,1,Concrete products machine operator
"$69,394",441,Male,1365,1,Medical technician – other
"$69,358",442,Male,2359,1,Director – film and video editor; Film editor; Video editor
"$69,324",443,Male,913,1,Registered nurse – surgical
"$69,249",444,Male,753,1,Brothel keeper; Laundrette owner; Marina manager; Nursing agency manager; Owner – taxi; Owner-driver – taxi; Taxi proprietor; Weight loss centre manager
"$69,132",445,Male,1686,1,Nurse practitioner
"$69,019",446,Male,2586,1,Paper products machine operator; Paper products maker
"$68,932",447,Male,14618,1,Air conditioning mechanic; Refrigeration mechanic
"$68,583",448,Male,1145,1,Occupational therapist
"$68,541",449,Male,416,1,Lagger
"$68,432",450,Male,1255,1,Post office manager
"$68,352",451,Male,1188,1,Executive assistant; Personal assistant
"$68,097",452,Male,575,1,Meat inspector
"$68,071",453,Male,3399,1,Air conditioning and mechanical services plumber
"$67,976",454,Male,837,1,Interior designer
"$67,925",455,Male,2271,1,Middle school teacher
"$67,903",456,Male,20810,1,Computer servicer or technician; IT technician; Poker machine servicer; Radio technician – domestic repairs; Television servicer or repairer; Vending machine servicer; Video technician – repairs
"$67,675",457,Male,1204,1,Stock and station agent
"$67,647",458,Male,966,1,Logging plant operator
"$67,620",459,Male,1544,1,Chemical production machine operator
"$67,510",460,Male,41,1,Teacher of the hearing impaired
"$67,479",461,Male,553,1,Liaison officer
"$67,413",462,Male,21113,1,Governess – teaching (primary level); Infant school teacher; Primary school teacher
"$67,287",463,Male,63,1,Sportsperson – other sports official
"$67,273",464,Male,205,1,Composer
"$67,222",465,Male,700,1,Registered nurse – perioperative
"$67,121",466,Male,1621,1,Librarian
"$67,015",467,Male,216,1,Osteopath
"$66,934",468,Male,2292,1,Alumina refinery operator; Arc welder; Die setter – metals; Furnace operator – metals; Key cutter; Kiln operator – metals; Knife sharpener; Metal press operator; Metal sprayer
"$66,872",469,Male,3167,1,Security consultant
"$66,691",470,Male,27601,1,Amusement park attendant – rides; Asbestos removalist; Fabricator – door or window – wood
"$66,538",471,Male,164,1,Continuity person; Microphone boom operator; Performing arts road manager; Special effects person; Theatrical dresser
"$66,535",472,Male,336,1,Anaesthetic technician
"$66,471",473,Male,43349,1,Commercial traveller; Commission agent – wholesale or retail; Company rep. – non-technical goods and services; Key account manager; Retail assistant – wholesale; Sales consultant – wholesale; Sales re
"$66,409",474,Male,1046,1,Plastics fabricator or welder
"$66,351",475,Male,313,1,Conveyancer
"$66,280",476,Male,22629,1,Office administrator; Office manager
"$66,254",477,Male,1613,1,Spatial science technician; Surveying or spatial science technician; Surveying technician
"$66,245",478,Male,1333,1,Web administrator
"$66,240",479,Male,360,1,Gallery curator; Museum curator
"$66,061",480,Male,8271,1,Hotel manager; Motel manager
"$66,040",481,Male,445,1,Rehabilitation counsellor
"$66,035",482,Male,521,1,Plastics technician
"$65,931",483,Male,10238,1,Glass blower; Hide or skin classer; Model maker – architectural
"$65,915",484,Male,1749,1,Glass machine operator; Glassware maker
"$65,884",485,Male,9688,1,Architectural draftsperson; Building designer
"$65,842",486,Male,2026,1,Bobcat operator; Front end loader operator
"$65,808",487,Male,1598,1,Agricultural field officer
"$65,793",488,Male,209,1,Historian
"$65,770",489,Male,232,1,Body builder – fitness; Sportsperson – other Office managers and
"$65,750",490,Male,4818,1,Printing machinist
"$65,602",491,Male,267,1,Radio dispatcher
"$65,541",492,Male,14636,1,Administrative service officer – levels 3–4; Public servant – administrative service officer – levels 3–4
"$65,539",493,Male,1602,1,Production tally or scheduling clerk; Traffic controller – television or radio
"$65,434",494,Male,1175,1,Registered nurse – community health
"$65,364",495,Male,2725,1,Paper and pulp mill worker; Process worker – paper and pulp mill worker
"$65,329",496,Male,593,1,Cost clerk
"$65,322",497,Male,531,1,Web journalist
"$65,313",498,Male,9417,1,Nurse consultant – clinical; Nursing sister; Registered nurse – general; Registered nurse – other; Registered nurse – other; Student registered nurse
"$65,255",499,Male,1530,1,Call centre team leader; Contact centre team leader
"$65,196",500,Male,12187,1,Teacher – other school
"$65,138",501,Male,459,1,Court reporter; Hansard reporter; Machine shorthand reporter
"$65,133",502,Male,34268,1,Plumber – general
"$65,113",503,Male,3216,1,Airline steward; Flight attendant or steward
"$65,080",504,Male,259,1,Consultant – insurance (clerical)
"$65,044",505,Male,923,1,Arts administrator; Arts manager
"$64,990",506,Male,63,1,Genetic counsellor
"$64,808",507,Male,89,1,Apprentice or trainee – power generation plant operator
"$64,667",508,Male,16628,1,Accounts clerk; Finance officer
"$64,593",509,Male,26,1,Teacher of the sight impaired
"$64,570",510,Male,4224,1,Park ranger
"$64,544",511,Male,438,1,Road roller operator
"$64,541",512,Male,530,1,Private detective; Private investigator
"$64,536",513,Male,26399,1,Welder
"$64,450",514,Male,4770,1,Chemical plant hand or labourer; Gas or petroleum plant hand or labourer; Paint factory hand or labourer
"$64,434",515,Male,1946,1,Farmer or farm overseer – mixed crop
"$64,231",516,Male,4,1,Hunting guide
"$64,079",517,Male,3355,1,Web designer
"$64,063",518,Male,493,1,Product examiner
"$63,884",519,Male,3967,1,Earth science technician; Soil technician
"$63,822",520,Male,12861,1,Vocational education teacher or tutor
"$63,757",521,Male,309,1,Cotton grower
"$63,733",522,Male,602,1,Television equipment operator; Vision mixer – television
"$63,602",523,Male,421,1,Plastic cablemaking machine operator
"$63,584",524,Male,464,1,Welfare centre manager
"$63,535",525,Male,8180,1,Airline employee – load controller; Freight clerk; Receiving and dispatching clerk; Shipping clerk; Transport dispatcher
"$63,464",526,Male,493,1,Shipwright
"$63,451",527,Male,436,1,Careers adviser; Careers counsellor
"$63,420",528,Male,179,1,Registered nurse – developmental disability
"$63,262",529,Male,3446,1,Die maker; Toolmaker
"$63,200",530,Male,1636,1,Landscape architect
"$62,935",531,Male,224,1,Apprentice or trainee – miner
"$62,893",532,Male,498,1,Actuarial clerk; Statistical clerk Clerical and office
"$62,893",533,Male,582,1,Back hoe operator
"$62,768",534,Male,2277,1,Payroll clerk
"$62,732",535,Male,667,1,Games programmer; Multimedia specialist
"$62,724",536,Male,198,1,Motor vehicle licence inspector
"$62,707",537,Male,20290,1,Warehouse manager
"$62,614",538,Male,5608,1,Spray painter – industrial
"$62,596",539,Male,351,1,Author
"$62,527",540,Male,1605,1,Councillor; Local government legislator
"$62,411",541,Male,792,1,Multimedia designer
"$62,388",542,Male,709,1,Health promotion officer
"$62,357",543,Male,5789,1,Metal machinist; Turner – metal
"$62,350",544,Male,143209,1,Concrete mixer driver; Lorry driver; Semi-trailer driver; Transport driver; Truck driver – general
"$62,162",545,Male,24789,1,Air force – other ranks; Air force junior non-commissioned officer; Army – other ranks; Army junior non-commissioned officer; Defence force personnel – junior non-commissioned officer; Defence force p
"$62,103",546,Male,1516,1,Compositor; Desktop publisher; Graphic reproduction tradesperson; Plate maker – newspaper/ printing; Ticket writer; Typesetter
"$61,959",547,Male,2597,1,Chemistry technician
"$61,850",548,Male,316,1,Stage manager
"$61,815",549,Male,202,1,Research nurse
"$61,686",550,Male,279,1,Archivist
"$61,667",551,Male,1881,1,"Camera operator – film, television or video; Motion picture camera operator"
"$61,662",552,Male,2369,1,Small offset printer
"$61,521",553,Male,355,1,Book editor; Script editor
"$61,394",554,Male,19575,1,Concrete worker
"$61,018",555,Male,116,1,Psychotherapist
"$60,972",556,Male,23,1,Casting director
"$60,921",557,Male,16,1,Consultant – weight loss
"$60,744",558,Male,1064,1,Confectioner
"$60,735",559,Male,78,1,Model maker – metal
"$60,637",560,Male,333,1,Conductor – music; Music director
"$60,472",561,Male,9283,1,Coppersmith; Sheetmetal trades worker
"$60,377",562,Male,242,1,Dietitian
"$60,362",563,Male,1072,1,Farmer or farm overseer – other crop; Tobacco grower
"$60,319",564,Male,3923,1,"Drainage, sewerage and stormwater labourer"
"$60,316",565,Male,935,1,Sugar mill worker
"$60,292",566,Male,48,1,Bingo caller; Keno terminal operator
"$60,279",567,Male,2846,1,Grain and livestock farmer or farm oveseer; Grazier; Livestock and mixed crop farmer or farm overseer
"$60,213",568,Male,1817,1,Remedial teacher; Special education teacher; Special needs teacher
"$60,030",569,Male,304,1,Court bailiff or sheriff
"$60,007",570,Male,678,1,Conservation officer
"$60,001",571,Male,1669,1,Dental mechanic or technician
"$59,996",572,Male,70,1,Clinical coder
"$59,947",573,Male,31066,1,Client service manager; Customer service manager
"$59,835",574,Male,13154,1,Paving and surfacing labourer; Road maintenance worker
"$59,809",575,Male,558,1,Registered nurse – disability and rehabilitation
"$59,765",576,Male,1157,1,Sports centre manager
"$59,671",577,Male,1247,1,Steel erector – structural
"$59,651",578,Male,17158,1,Carpenter and joiner; Shop fitter
"$59,643",579,Male,1904,1,Circus performer; Comedian; Entertainer; Performing artist; Variety artist
"$59,396",580,Male,394,1,Streetsweeper operator
"$59,381",581,Male,52178,1,Carpenter
"$59,342",582,Male,163,1,Speech pathologist; Speech therapist
"$59,305",583,Male,3091,1,Cheesemaker; Dairy products maker
"$59,302",584,Male,11424,1,Manager – grocery – supermarket; Retail supervisor
"$59,206",585,Male,350,1,Product tester
"$59,132",586,Male,8,1,Turner – porcelain
"$59,009",587,Male,2296,1,Motor vehicle body builder
"$58,871",588,Male,514,1,Office machine mechanic
"$58,583",589,Male,1546,1,Stone processing machine operator
"$58,522",590,Male,42500,1,Retail store manager; Shop manager
"$58,483",591,Male,18,1,Weight loss consultant
"$58,373",592,Male,6992,1,Administrative service officer – levels 1–2; Public servant – administrative service officer – levels 1–2
"$58,055",593,Male,413,1,"Grain, oilseed or pasture grower"
"$57,911",594,Male,12316,1,Commercial artist; Graphic designer
"$57,715",595,Male,244,1,Distance education teacher; Migrant teacher
"$57,673",596,Male,1461,1,Records administrator
"$57,637",597,Male,175,1,Illustrator
"$57,584",598,Male,2684,1,Cement renderer; Concrete plasterer
"$57,570",599,Male,4,1,Squash player
"$57,480",600,Male,1056,1,Facilities administrator
"$57,375",601,Male,753,1,Linemarker
"$57,353",602,Male,118,1,Registered nurse – medical practice
"$57,317",603,Male,53,1,Distiller
"$56,998",604,Male,1708,1,Conference and event organiser; Functions coordinator
"$56,984",605,Male,1342,1,Agricultural technician
"$56,929",606,Male,3376,1,IT hardware technician
"$56,828",607,Male,13268,1,Earthmoving labourer; Grave digger; Labourer – digging
"$56,795",608,Male,1501,1,Gem cutter and polisher; Goldsmith; Jeweller; Silversmith
"$56,685",609,Male,327,1,Dairy quality assurance inspector; Fruit and vegetable inspector
"$56,628",610,Male,2193,1,Boat builder or repairer; Rigger – boat
"$56,528",611,Male,459,1,Noxious weeds and pest inspector; Pest and noxious weeds inspector
"$56,300",612,Male,1022,1,Parking inspector
"$56,168",613,Male,837,1,Poultry farmer or farm overseer
"$56,082",614,Male,2369,1,Telecommunications and data cabler
"$56,033",615,Male,1072,1,Armoured car escort; Payroll guard
"$55,993",616,Male,315,1,Opera singer; Singer; Vocalist
"$55,954",617,Male,793,1,Grape grower; Viticulturist
"$55,932",618,Male,1087,1,Counsellor – other
"$55,914",619,Male,114,1,Horse breeder
"$55,841",620,Male,1068,1,Fitness centre manager
"$55,833",621,Male,917,1,Ceramics scientist; Exercise physiologist; Polymer scientist; Sports scientist
"$55,667",622,Male,1689,1,Die setter – plastics; Model maker – plastic; Plastics press machine operator
"$55,633",623,Male,645,1,Plastic compounding and reclamation machine operator
"$55,624",624,Male,131,1,Apprentice or trainee – security and correctional services
"$55,608",625,Male,1026,1,Sports development officer
"$55,520",626,Male,913,1,Dark room attendant; Photographic developer and printer; Photographic laboratory assistant
"$55,379",627,Male,2656,1,Garbage collector; Rubbish or recycling collector
"$55,355",628,Male,13991,1,IT customer support officer; IT help desk officer
"$55,339",629,Male,140,1,Interior decorator
"$55,185",630,Male,1993,1,Screen printer
"$55,174",631,Male,165,1,Jewellery designer
"$55,135",632,Male,5672,1,Electrical trades assistant or labourer; Electrician’s assistant; Telecommunications trades assistant
"$55,069",633,Male,516,1,Optical mechanic
"$54,991",634,Male,3817,1,Audio engineer; Editor – sound; Sound engineer or technician
"$54,834",635,Male,54,1,Apprentice or trainee – jockey
"$54,780",636,Male,130,1,Clothing pattern maker; Patternmaker-grader – textiles
"$54,730",637,Male,2001,1,Sports administrator
"$54,721",638,Male,345,1,Office secretary or stenographer; Stenographer
"$54,706",639,Male,7024,1,Social worker
"$54,615",640,Male,245,1,Saw repairer; Saw sharpener
"$54,516",641,Male,6617,1,Retail assistant – business services; Sales representative – business services; Salesperson – business services; Shop assistant – business services
"$54,497",642,Male,5851,1,Airline employee – baggage handling or ground crew; Baggage handler – airline; Loadmaster – aircraft
"$54,479",643,Male,1662,1,Book binder; Print finisher
"$54,445",644,Male,3369,1,Cement plant hand or labourer
"$54,352",645,Male,53848,1,Garage mechanic; Motor mechanic – petrol
"$54,286",646,Male,433,1,Jockey
"$54,240",647,Male,2607,1,Medical laboratory technician
"$54,131",648,Male,337,1,Weighbridge operator
"$54,091",649,Male,1702,1,Fishing hand
"$54,081",650,Male,139939,1,Occupation not listed
"$54,042",651,Male,1673,1,Apprentice or trainee – sales assistant (retail)
"$54,027",652,Male,338,1,Consultant – travel
"$53,956",653,Male,195,1,Naturopath
"$53,925",654,Male,1242,1,Lighting technician
"$53,914",655,Male,2278,1,Baggage handler – bus or train; Baggage handler – freight –  roal or rail; Freight handler – road or rail
"$53,846",656,Male,10962,1,Panel beater
"$53,808",657,Male,11528,1,Fettler; Iron worker; Metal worker
"$53,778",658,Male,28,1,Civil celebrant
"$53,590",659,Male,1222,1,Welfare officer
"$53,555",660,Male,2636,1,Postal sorting officer
"$53,365",661,Male,3467,1,Agent – travel; Travel agent or consultant
"$53,280",662,Male,1861,1,Building insulation installer
"$53,120",663,Male,543,1,Governess – teaching (pre-primary); Kindergarten teacher; Pre-school teacher
"$53,075",664,Male,59,1,Yarn carding and spinning machine operator
"$53,063",665,Male,456,1,Hostel manager; Lodge manager
"$52,976",666,Male,329,1,Electroplater
"$52,973",667,Male,305,1,Turf grower
"$52,964",668,Male,311,1,Migration agent
"$52,963",669,Male,933,1,Rubber factory hand or labourer
"$52,825",670,Male,456,1,Sugar cane grower
"$52,707",671,Male,1996,1,Grain mill worker; Miller – flour or grain
"$52,658",672,Male,2263,1,"Security guard – security, alarm or surveillance monitor"
"$52,653",673,Male,2419,1,Casino worker – surveillance officer; Security guard – other security officer or guard
"$52,637",674,Male,60,1,Camera repairer
"$52,610",675,Male,189,1,Court orderly
"$52,485",676,Male,125,1,Blacksmith
"$52,476",677,Male,7425,1,Glazier
"$52,463",678,Male,9664,1,Postal delivery officer
"$52,121",679,Male,779,1,Judge – horse or dog racing; Racecourse official; Steward – racing
"$52,093",680,Male,10059,1,Retail assistant – motor vehicle parts and accessories; Sales representative – motor vehicle parts and accessories; Salesperson – motor vehicle parts and accessories
"$52,086",681,Male,175,1,"Textile, clothing and footwear mechanic"
"$52,077",682,Male,10031,1,Food processing machine operator
"$51,935",683,Male,1340,1,Tow truck driver
"$51,917",684,Male,30436,1,Bus driver
"$51,862",685,Male,1991,1,Locksmith
"$51,801",686,Male,4672,1,Arborist; Tree surgeon
"$51,789",687,Male,1048,1,Driving instructor
"$51,783",688,Male,685,1,Cinema manager; Theatre manager
"$51,766",689,Male,323,1,Dog handler or trainer
"$51,628",690,Male,536,1,Pharmacy technician
"$51,601",691,Male,1074,1,"Production assistant – film, television, radio or stage"
"$51,561",692,Male,2054,1,Small engine mechanic
"$51,492",693,Male,1123,1,Fibreglasser
"$51,376",694,Male,690,1,Life science technician
"$51,154",695,Male,562,1,Switchboard operator; Telephonist
"$51,116",696,Male,1284,1,Caravan park manager
"$51,086",697,Male,3249,1,Pest controller
"$50,879",698,Male,6751,1,Motor vehicle painter
"$50,799",699,Male,1552,1,Glass plant hand or labourer
"$50,745",700,Male,69,1,Proofreader
"$50,734",701,Male,301,1,Clock and watch maker and repairer
"$50,731",702,Male,318,1,Education reviewer
"$50,619",703,Male,30904,1,Forklift driver
"$50,585",704,Male,2895,1,Signwriter
"$50,571",705,Male,769,1,Pig farmer or farm overseer
"$50,540",706,Male,1433,1,Aquaculture farmer or farm overseer; Fish hatchery manager; Oyster farmer or farm overseer; Seafood farmer or farm overseer
"$50,461",707,Male,62,1,Gunsmith
"$50,366",708,Male,11177,1,Plasterer
"$50,338",709,Male,880,1,Library officer; Library technician
"$50,323",710,Male,4750,1,Roof plumber
"$50,222",711,Male,4116,1,Sports coach – other; Sports instructor – other
"$50,113",712,Male,56,1,Hat maker; Milliner
"$50,110",713,Male,159,1,Athlete
"$50,076",714,Male,385,1,Textile dyeing and finishing machine operator
"$50,039",715,Male,256,1,Amusement centre manager
"$49,970",716,Male,2042,1,Printer’s assistant; Printer’s hand
"$49,965",717,Male,30,1,Weaver
"$49,930",718,Male,2874,1,Law clerk; Legal and related clerks
"$49,913",719,Male,33171,1,Night watchperson; Railway employee – patrol officer; Security guard; Security officer
"$49,886",720,Male,3071,1,Stonemason
"$49,726",721,Male,1664,1,Wood processing machine operator – other
"$49,672",722,Male,630,1,Faults consultant – taking reports of faults; Inquiry clerk
"$49,625",723,Male,45001,1,Bricklayer’s labourer; Building construction labourer; Construction worker – general assistant
"$49,622",724,Male,2859,1,Newspaper photographer; Photographer
"$49,620",725,Male,1193,1,Band member; Drummer; Guitarist; Musician – instrumentalist; Organist; Pianist
"$49,521",726,Male,481,1,Roof truss detailer; Structural steel detailer
"$49,411",727,Male,211,1,Exhaust and muffler repairer
"$49,398",728,Male,476,1,Tourist adviser or officer
"$49,293",729,Male,1306,1,Music researcher; Musician – other music professional
"$49,268",730,Male,1693,1,Debt collector
"$49,251",731,Male,2235,1,Motor vehicle accessories fitter
"$49,126",732,Male,7335,1,Tyre fitter
"$49,005",733,Male,458,1,Beauty salon manager; Hair salon manager
"$48,979",734,Male,1214,1,Farmer or farm overseer – mixed livestock
"$48,978",735,Male,7999,1,Bricklayer
"$48,963",736,Male,2359,1,Joiner; Wardrobe builder
"$48,802",737,Male,709,1,Sign erector
"$48,798",738,Male,726,1,Residential care officer
"$48,694",739,Male,1580,1,Coach driver; Passenger coach driver
"$48,673",740,Male,4363,1,Registered nurse – aged care
"$48,668",741,Male,1811,1,Saw operator – panel saw; Wood machinist
"$48,629",742,Male,95,1,Apprentice or trainee – transport and distribution driver
"$48,591",743,Male,6852,1,Clerk – other; Coding clerk; Exam supervisor
"$48,530",744,Male,2690,1,Forestry labourer; Logging worker – forestry
"$48,412",745,Male,1874,1,Employment office clerk; Human resource clerk; Personnel records clerk
"$48,390",746,Male,937,1,Market gardener – vegetables; Vegetable grower
"$48,205",747,Male,820,1,Operating theatre technician
"$48,165",748,Male,2354,1,Slaughterer
"$48,148",749,Male,62,1,Surfer
"$48,095",750,Male,779,1,Artist – other visual; Craft worker
"$48,093",751,Male,229,1,Canvas goods maker
"$48,067",752,Male,228,1,Miller – tyres; Tyre retreader
"$48,030",753,Male,200,1,Radiator repairer
"$48,023",754,Male,13056,1,Retail assistant – building and plumbing supplies; Sales representative – building and plumbing supplies; Salesperson – building and plumbing supplies; Shop assistant – building and plumbing supplies
"$47,952",755,Male,3125,1,IT sales assistant
"$47,924",756,Male,144,1,Butler
"$47,905",757,Male,370,1,Zookeeper
"$47,882",758,Male,2380,1,Beef cattle farmer or farm overseer
"$47,851",759,Male,630,1,Sheep farmer or farm overseer
"$47,833",760,Male,903,1,Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker
"$47,826",761,Male,1574,1,Mechanic’s assistant
"$47,823",762,Male,2039,1,Airline employee – check in or ticketing; Call centre operator – bookings; Cinema attendant – selling tickets; Contact centre operator – bookings; Railway employee – ticket seller; Reservations clerk;
"$47,808",763,Male,17701,1,Cabinet maker; Furniture maker
"$47,799",764,Male,1671,1,Mail clerk
"$47,746",765,Male,423,1,Clerk – typist; Medical typist; Typist; Word processing operator Inquiry clerks and receptionists
"$47,744",766,Male,75,1,Drama teacher – private
"$47,743",767,Male,1227,1,English language teacher
"$47,696",768,Male,96,1,Call centre operator – classified ads; Classified advertising clerk; Contact centre operator – classified ads
"$47,548",769,Male,3195,1,Curtain installer; Installer – home improvements; Security door installer
"$47,504",770,Male,2705,1,Horticulturist – nursery; Nurseryperson
"$47,475",771,Male,1011,1,Optical dispenser
"$47,438",772,Male,15921,1,Butcher; Smallgoods maker
"$47,276",773,Male,230,1,Family and marriage counsellor
"$47,265",774,Male,1239,1,Horse breaker or trainer; Stable manager
"$47,207",775,Male,1244,1,Brick handler – brickworks; Kiln hand or labourer
"$47,179",776,Male,899,1,Admissions clerk
"$47,168",777,Male,19958,1,Café manager; Canteen manager; Caterer; Restaurant manager
"$47,006",778,Male,83,1,Cane furniture maker; Cooper; Model maker – wood; Wood carver
"$46,975",779,Male,128,1,Logging assistant; Saw operator – chainsaw
"$46,961",780,Male,652,1,Motor vehicle trimmer
"$46,912",781,Male,2608,1,Concierge – hotel; Hotel service manager
"$46,883",782,Male,502,1,Electorate officer
"$46,833",783,Male,1628,1,Dairy cattle farmer or farm overseer
"$46,650",784,Male,657,1,Recreation officer
"$46,643",785,Male,65,1,Apprentice or trainee – justice and legal services
